,Title,Content
10," Good lord
"," The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh. "
11," Venice 76 review
"," I have just watched the Joker in Venice and I will say if Joaquin doesn't get an Oscar this year then something is wrong with this world. This perfomance is just jaw-dropping, it glues you to the screen and doesn't let go till the end. Story is very good and has some interesting connections with Batman lore(especially one you can't guess from trailers). There are some scenes that are so tense ,well-acted and imaginative that push this movie to 10. Cinematography and direction are great, Todd has proven himself as a director. Robert is also good in his ""small"" role. Will definitely see it again as soon as it out in October. "
12," Finally, a REAL movie
"," This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.<br/><br/>If you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you. "
13," Not a spoon feeding of CGI fueled faux drama.
"," The movie affects you in a way that makes it physically painful to experience, but in a good way. "
14," Critics are useless!
",
15," Oscar for Phoenix
", I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting. 
16," One of the best acting performances I've ever seen
"," Joaquin Phoenix IS the joker. Phoenix gave a performance that felt like a mixture of Heath Ledger's joker, Jack Nicholson's joker, and Alex in A Clockwork Orange:<br/><br/>Overall, this movie was a trip to say the least. Cinematography was very good, and the soundtrack set the perfect mood for the film for the most part. The acting and plot are what sold it though. Phoenix made me forget that the character was one I had seen before in other movies. His performance mixed with the overall feel and plot of the movie made me leave the theater feeling like I too had just taken a descent into madness.<br/><br/>I've never been a very big fan of superhero movies so I was a little weary going into the movie, but this had absolutely nothing to do with anything superhero related other than the characters. I loved this movie and will definitely see it again. It was just what I hoped it would be. "
17," Best DC movie since The Dark Knight Rises
",
18," Joker > Endgame
"," Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways. "
19," BELIEVE THE HYPE
"," Joaquin Phoenix gives Heath Ledger a run for his money, true story. This is not a popcorn fluff comic book flick. DO NOT TAKE YOUR KIDS TO SEE THIS MOVIE. Shut down all ballots for the Oscar, Joaquin is taking that one home hands down. One of the best origin stories EVER put out. The only downside to this movie, is that it is a stand alone film that will have no sequels or ties to the DC Universe. Todd Philips take on the Joker is one of pure brilliance and Joaquin Phoenix was the Joker we deserved. He didn't steal from Jack or Heath but yet you got a taste of both. "
20," Masterpiece.
"," The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8. "
21," Anyone who rates this movie poorly clearly doesn't appreciate cinema
",
22," Brilliant. And best joker I've ever seen
"," Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down. "
23," Snoby critics get over yourselves
"," NO SPOILERS<br/><br/>Great movie. Tasteful references to 'The King of comedy'. Somewhat in line with the Batman story line. Cinematography, acting, story, character progression, comedic tones... All perfect.<br/><br/>A good watch, highly recommended it. I don't know who is paying these critics to write such BS reviews. You're not original when you rate a good movie badly. We all know you are just doing it for attention/clicks/fame. Yours is a dying breed and the more pointless reviews you write the less we will care about you. Grow up. "
24," Requiem of a broken man
"," The perfect portrait of a decline to insanity""
&amp; Joaquin Phoenix portrays this flawlessly in a performance of a lifetime.
Choreographed impeccably by Todd Phillips &amp; is nothing short of breathtaking.
The cinematography &amp; backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack &amp; acting. A hauntingly beautiful film &amp; A Definate 10/10.
Edit: Bring on part 2 plssssss!. We all want it!. "
25," Movie of the Decade
"," The pool does not need the money. They need the dignity and respect, coz that is what it takes to be a human. If you don't have that, money will only be a reminder of them being a ""good boy"". Like some politicians, they feel so frustrated when people from the lower class does not accept their funding champions. In this movie, through joker's life, I begin to get it. "
26," ""That's Life.""
"," In an era of cinema so saturated with superheroes and gritty remakes, Todd Phillips and Phoenix somehow take a character so deeply intrenched in pop culture and create something compelling and unique. This film is unafraid to be bleak and scary without offering much to the viewer as a means of comfort. The only way we can deal with the harsh cruelties of the world is by treating it as a joke. Upon leaving this movie, you will not hate Joker, you will hate the world that made him.<br/><br/>Phoenix simply cannot be praised enough. He brings both sympathy and tragedy in the way he moves his eyes, the way he contorts his shoulders, the way he laughs. A lesser actor would be unable to swing his moods from as far extremes as Phoenix does nor add the layers that Phoenix intricately builds for his character. The way he twists and writhes his body is mesmerizing and brings even more tragedy to the Joker. This is Phoenix's movie.<br/><br/>As for the technical side, this movie is far different than any other super hero films of recent years. The cinematographer and director choose a shallow focus, giving Pheonix a) the undivided attention of the viewer and b) a more personal feel to the film. There are wide shots with deep focus, but they are used sparingly because this movie is about a character, not action or explosions. The color palette of this movie is intentionally composed of dour greens, blues and tepid yellows--- all of which gives the world a sickly feel. The soundtrack is used affectively, bringing waves of optimism to intentionally clash with our protagonist's angry depression. This film will likely be compared to The Dark Knight and DCEU films, which I don't find to be fair. This film is far more akin to The Machinist and The King of Comedy in tone and visual style.<br/><br/>I recommend this film, and I think anything short of an Oscar nomination for Phoenix would be disrespectful to the effort he gives. However, I have one gripe I would like to voice. I found the tie-ins to the Wayne family to be unnecessary. It came across as pandering to an audience that loves Easter eggs more-so than the story itself. In my opinion, I think the story would have worked even better if it had distanced itself from the Batman story. Other than that, I had little issue with the rest of the film.<br/><br/>Joker is a movie that tells us life is full of sadness, and then gives us a character whose purpose is to spread laughter and joy. I was going to finish this review with a joke, but, you wouldn't get it. "
27," Probably one of the best comic book movies out there with a performance of Phoenix that will make you speechless at the end #Venice76
"," Still days after seeing it, I'm still stunned by this film. I was lucky enough to see this film at the night of August 31 at the 76th Venice International Film Festival with high anticipations, and I was blown away. Joaquin Phoenix's performance as the Joker was hands down the best of the entire year. His performance reminds me why we love to watch actors play other people, why performance is such an appreciated art form. His laugh, his movements and his slow transformation from Arthur Fleck, a wannabe stand up comedian to the crazy prince of thieves, the Joker, was a thing of beauty to watch. Anybody who's watching this film has to appreciate how Phoenix committed himself to this role, you don't see Phoenix on the screen, but the character of Joker. Joaquin Phoenix might has not topped Heath Ledgers Joker in my opinion, but damn was he close and he deserves every acting award possible.
The film offers a dark look of 1970s Gotham City; a dark, griddy atmosphere where there is no joy nor happiness in this world, and in many moments, the movie gave me instant ""Taxi Driver"" and ""King of Comedy"" vibes - two of Martin Scorsese's best films - without copying both films, but includes elements from both films like e.g. all the political tensions in the city are definitely borrowed from ""Taxi Driver"" and all the bits with the stand-up comedy from ""The King of Comedy"".
The film was a deep character study of a man with some psychological and health issues who simply wants to bring laughter to this world by performing as a clown in e.g. child's hospitals and performing as a stand-up comedian. But his mental health and this broken, sad, depressive society that doesn't know any joy, do not let him be the way he is and all the people around him see him as too weird/different and simply want to put him down; in the streets, in his workplace, at his mother's house etc. to the point where he simply finds a breaking point and loses his mind every day that goes by, which leads him to kill people and then become a symbol of terror and chaos towards the end. And at every moment something bad happens to Arthur Fleck - and yes, a whole lot of things happens in his life aka. to him throughout the film - you just feel sad for him, you mourn for him since he never seemed to have any intentions of harming people at first so that the audience exactly understands the things he does throughout the film. I'm not gonna go any further into plot details since the film's not yet out and I believe - even if it wouldn't have the name ""Joker"" in the title - that everybody should go and watch this film because we don't get such deep sophisticated character study films like this everyday - especially if such films gets mainstream attention. I enjoyed every second watching this character slowly falling apart.
Although I do think that the character of Zazie Beetz was totally useless and lead to nowhere, could have been easily cut out. That's probably my only negative with this film.
But still; it's a thought provoking masterpiece that has a lot to say - about the current situation of society -beyond being just a comic book movie. It offers a completely different take on the character of the Joker with some similarities to ""The Killing Joke"" with lots of surprising twists (one word: Wayne) that even connects it with the Batman comics and will leave you speechless. And half the greatness of this film is thanks to the great performance of Phoenix!
I'm gonna say this: the scene in the third act where the Joker appears live on TV at the Murray Franklin show - which was shown in the final trailer - blew me personally away, the tensions, the build up, Phoenix's greatness and even Robert De Niro's acting, was a heartbeat moment to me. Not spoiling it, but it's amazing. I can't wait to rewatch it when it comes out in October...Check it out as soon as it comes out! #Venice76 "
28," CLOWN PRINCE OF CRIME has arrived
"," 10/10 Amazing story, Brilliant taking, magnificent cinematography.
Someone had to step out of the safe game played by Superhero movies and Joker movie does just that (also The Boys). Movie is gritty, real, insanely dark and sometime quite disturbing to people who don't want accept what's shown in the movie is a terrible reality we face everyday if refused a proper care.
Normally people start to compare the movie with one of the greatest like The Dark Knight and in acting wise to that of Heath ledger's Potrayal of joker.
I wouldn't say this movie is better that that or otherwise , but it will stand tall amongst the greatest like The Godfather, Taxi Driver, Citizen Kane, The Dark Knight.
Coming to the inevitable comparison of who's the better Joker? Heath or Joaquin. The answer is Both did a phenomenal job and the Joker character itself is fortunate to have being played by two greatest actors.
Definitely a top contender for Oscars. I personally think it would take away
1.Best Actor 2.Cinematography 3.Original score and if Once Upon a time in Hollywood loses in Make-up and hairstyling category it would definitely be to The Joker. "
29," What a remarkable insight into those who suffer from mental illness.
"," This movie was sensational.
The actors, the cinematography and most importantly the insight into mental illness and it's victims.
There is such a stigma towards mental illness and watching this movie really highlights some of the reasons that an individual may develop a mental illness, and how someone's childhood and upbringing can effect mental health throughout there entire life.
The joker had serious trauma throughout his childhood, and it came to surface in adult hood as you can see in the movie.
The build up of the movie from start to finish was very intense and overwhelming.
It highlights the stigma people can have towards mental illness and should be an eye opener for those who are too quick to judge people.
Sensational movie. I would recommend this to anybody. Huge thumbs up. "
30," This is a movie that stays with you.....
"," The anticipation that I felt walking into this movie is very rare. I can only compare it to the same feeling of walking into a Christopher Nolan movie or Avengers endgame. It's an incredibly high bar of expectation and there was a thick atmosphere of excitement in the theater. I found this movie to be a masterpiece of film-making with an incredible lead performance. It covers the full spectrum. Wonderful storytelling and emotional beats, mixed with powerful dialogue and beautiful cinematography. The movie doesn't shy away from violence, and there is even some humorous moments of levity among the chaos and madness. I can't say enough about Joaquin Phoenix. He's a very special talent. The subtlety of his abilities are a joy to behold. He's a master of his craft. There are many standout moments in this movie and it tackles many very real issues - such as mental health awareness and social isolation. Highly recommended. "
31," Unparalleled
"," Incredible, believable depiction of not only mental illness but of a man who can be seen as a legitimate human being in the real world. Unlike Heath (RIP), this Joker is less of a ""performance"" and more of a legitimate depiction of the real mental illness GOOD people face. He reconstructs what ""good"" truly is and, in contrast, the powers that be define what ""good"" is for their own advantage.<br/><br/>Rant/related to movie content:
The wealthy make laws to ***k all the other people they deem inferior or unwealthy, and a lot of us really are ***ked by the likes of these elitist egotistical devils.<br/><br/>Anyways, enough of that. Watch the movie. "
32," Wanted to rewatch it as soon as the credits came up
"," The character development in this film is amazing. Reflecting on the person you saw at the beginning of the film and at the end are so totally incomparable. Heath Ledger set a high bar, and this film was a fantastic and different take on a story. It was totally gripping - one of those films you talk about for 2 hours solidly after seeing. "
33," Powerfull Movie!
"," This movie is a masterpiece. If you ever were bullied or have had depressions and felt like everybody is against you, you will feel with the joker through the whole movie.
This movie is unsettling from the get go and gets only worse from there on (but in a good way:)). As we witness how the character - Arthur Fleck, who will become the joker - is gradually sinking into insanity, caused by the selfish and cold world he lives in and by his own psyche.
The role of the Joker is delivered brilliantly by Joaquine Phoenix, who in my opinion, deserves an oscar for it.<br/><br/>But beware!
Its a movie unlike other superhero movies. This one is more of a character study of the joker, why he became who he is. I would sort it into the Genre of Drama/Thriller. "
34," Joaquin is fanatic
"," I'm just gonna say wait for the 2nd half.
Its a masterpiece. "
35," Cinematic Masterpiece
", I read reviews before watching the film and was not disappointed! Joquain's performance..... the cinematography..... the fact that it was relatable in regards to mental illness.... it was all-consuming and I was enthralled the entire time! I'll be going back to see this again in the next few days and I NEVER do that! 
36," Saw it tonight and had to make an account so I can tell everyone how good it is
"," Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time "
37," THIS IS HOW A DC MOVIE SHOULD BE!
"," This movie is a masterpiece! It absolutely epitomizes what a DC movie should be. Dark, emotional, thought provoking, not just action action action. One of the best movies I've seen in a long time.<br/><br/>Critics have definitely lost touch with the public and should be ignored on this one. Do yourself a favor and watch it!<br/><br/>And remember to be good to one another. You dont know what someone else is going through. "
38," Incredible
"," The first time I've come out of the cinema in a long time feeling satisfied, excited and amazed. Joaquin Phoenix carries the whole movie, with his portrayal of the joker being immersive and entertaining. Every aspect was amazing- great choice of songs, brilliant acting and beautiful cinematography. So impressed! "
39," BEST MOVIE OF THE YEAR
"," The movie was excellent and amazing, from the beginning that Joaquin's personality is seen as he evolves in the Joker until the end, Joker is the most difficult character to do and I think Joaquin did it!! "
40," Astonishing Masterpiece
"," What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right. "
41," First time writing a review... that's how good this is
"," Please go watch this movie! This is the first time I've ever wrote a review on this app and I've been using it to read reviews for years! That's how good this film is. Very dark, grimy and disturbing, exactly how an origin film about the joker should be. I have no doubt it will win multiple oscars. Do yourself a favor and go see it!!! "
42," Oscar Sooner or later
"," W.O.W!!!
What can I say about how brilliant Phoenix act performance is ??
In shortcut,movie of the year 💯/💯👏 "
43," Stunning
"," One of the best movies in these few years and 100% Oscar worthy<br/><br/>
Joaquin Phoenix delivers one of the best performances I've ever scene "
44," Stop comparing it with Endgame
"," Joker is literally an achievement in cinematic history there's no doubt in that ! But why people comparing it with Endgame ? Both movies have their own ways and they are completely different. Endgame was the best at its genre. Talking about Joker ... What can I say ... A beautiful presentation of storyline , direction , screenplay was all at its peak of greatness ... Heath ledger smiling down to earth :) "
45," Clear the Shelf for the Oscars
"," I am not a Batman fan nor am I particularly fond of Joaquin Phoenix, but this movie was truly exceptional. It started slow but built to a viscerally satisfying crescendo. I never thought I would be rooting for the Joker, but found that I did so throughout the movie. The Joker's pain was so palpable. I am filling out my Oscar pool card right now.<br/><br/>PS This movie is dark and violent and decidedly not a super hero movie. Leave the kids at home. "
46," Unbelievably Perfect
"," I've never wrote a review, I regret every rating I've ever given a movie because of the tens I've put that pale in comparison to this masterpiece. What an amazing flick. Words can not describe the brilliance of Phoenix. Masterful. Mesmerizing. "
47," It is 'horrifyingly beautiful'....
", I can't explain actually that how perfect this film is. 
48," A total 10/10.
"," Joker is the best movie to release this year. I doubt any movie releasing this year will come close to it. Joker tackles mental illnesses perfectly. Despite the brutalities he's caused throughout the movie, you can't just help yourself but to feel sorry for him. I'd be a liar if I said I didn't cry at least twice during the movie. Fleck really shows how one bad day can drive you over the edge. It perfectly depicts how mental illnesses can drive you to do inhumane stuff. The violence in Joker felt way too real, all the deaths in the film, the 3 Wall Street guys, Arthur's mom, Randall, Murray Franklin. I felt like I was there for the deaths. The death that hit me the most was Murray, it was so sudden and out of the blue. Arthur really looked up to Murray as a father figure, an icon. When Arthur admitted to killing the Wall Street guys, that's when he really turned into Joker. Arthur Fleck was long gone.<br/><br/>Joker really isn't a movie. It's a wake up call. It's a fictionalized documentary. It goes to show how one bad day can destroy your entire life. If you're suffering from mental illnesses, please don't hesitate to ask for help. "
49," A harsh and emotional masterpiece
", I just watched the Joker and it was so powerfull and its one of the only movies that makes you think about our society and our actions. Its such a masterpiece. A true work of art. 
50," Masterpiece with one flaw
", Probably one of the best movies I have ever seen in a while. The one flaw it has was probably that it could of made the lines of what was a dream the whole time and what was reality smoother. 
51," The best thing DC has done since Dark Knight
"," Joker is without a doubt my new favorite DC film. It's dark and gritty but with enough psychological twists that it keeps you guessing from beginning to end. Nothing can be taken at face value and the film forces you to think from beginning to end. Don't listen to the critics, this one is worth watching multiple times in theaters. "
52," Applauding audience
"," The moment the end credits where starting I had tears in my eyes and felt the urge to applaud, which is not happening in a cinema in Belgium ever! I hesitated but what a surprise: the whole audience started applauding and I could join anonymously...
I am a movie lover and 61. I must say that this is the most impressive movie I have ever seen. Pure melodrama. A true masterpiece. "
53," Better than it had a Right to be. (And its Right to be was Beyond Sky-High)
"," Nicholson's Joker was a Gangster. Ledger's Joker was an Anarchist. Phoenix's Joker...is a Human Being.
As a typical viewer I must say I am burnt out over Marvel's popcorn-selling machines called movies, and am always more for the gritty, challenging films which DC and Christopher Nolan had made. This is a film so realistic, so grounded in reality that I forgot it was based on a DC comics character. This is not an action film. This is not adventure. This is a character-study. It felt more like a biopic of a tragic character of a criminal- and that it is. It is a story of HOW the Joker came to be and less of WHAT he does. This film was better than I thought it would be, and I am glad we have it. It may not make as much money, but I am certain it will be better remembered than Marvel's ""Endgame""- and will reinvent this genre of film the way Nolan's 2008 masterpiece ""The Dark Knight"" did.
Phoenix and Ledger are the best Jokers- I refuse to choose one over the other. "
54," One of the most fascinating and engrossing films ever made
"," Joker is absolutely brilliant. It's gritty and utterly captivating. It's a tough watch at times and yet you can't look away. I would not recommend it for the faint of heart, but if you love crime drama, 1970s movies, or very early Scorsese films you might enjoy Joker. The film is getting a tough rap from the mainstream critics, mainly because it's very divisive, but also because it shines a harsh light on some very rough subjects, including class warfare, access to health care, and the mental health crisis in America. If any of these things make you uncomfortable don't go see this film. As for my opinion, Joaquin Phoenix deserves an Oscar and so does the director. Yeah, it's that good.<br/><br/>One last thing, the photography demands that you see it in the best possible quality. Also, for goodness sake, don't let your kids see this movie. This is not a Batman film. This is not a Marvel popcorn movie. It's a ""hard R"" crime drama. "
55," I created an account just to rate and comment on this movie. I am not a batman movies fan.
"," I'm not usually a fan of comic based movies. I was never a fan of batman because I'm having a hard time taking people in costumes seriously. I went to watch joker because all of the hype and I was genuinely expecting it to be a so-so performance. I went there watching the Heath Ledger's joker before, which was OK in my opinion, as I said, I'm not a batman movies fan.
However.
This movie is not about batman, is not about comics, is not about superheros. This is a drama film. A drama which touches you deep inside on a special level, a movie which you feel because at least once you will sympathize with the joker. You will find yourself debating inside, whether he should be excused for his actions. Seeing Phoenix portray Arthur, from a beaten man, to become THE joker, quite by accident, is an extraordinary journey. The movie deserves all the praise it gets, and some.
I can't recommend the movie enough, as it's just THAT good. "
56," Masterpiece
"," Yesterday was that day, when I understand, that I have touched history. This movie will drag you in your deepest thoughts, in your darkest secrets and suffering. This masterpiece will grind you, like a meat grinder and you will watch it in silence and with open mouth. Like the whole cinema will.
I don't like comics movie, marvel is very pompous, absurd and insipid. In my opinion. It's not an art, it's just an attraction. As DC movies was too. But now DC made history, the made art and made drama.
To be more understandable. When you watch for example Avengers or League of Justice you are eating McDonald's hamburger. But when you watch Joker you are eating 1000$ stake in the most luxurious restaurant in the world. "
57," Ridiculous
"," Just go see it.. The end<br/><br/>Film of the year by some distance, literally breathtaking performance "
58," Mesmerizing
", The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:) 
59," Took my 65 year old mother to see it.
"," I saw the movie after the opening weekend and loved it. I think it's a masterpiece. Convinced my 65 year old mother too see it, who couldn't even remember whose nemesis the Joker is. She had read about all the negative press about the movie being too violent and taking light of mental health issues.<br/><br/>She loved the movie. Sympathized for Arthur and was rooting for the Joker (to a certain point) She was surprised about the small amount of violence is depicted after all the press putdown and enjoyed the ""social commentary"" the movie conveys.<br/><br/>Her score: 9 / 10<br/><br/>Mom is always right. "
60," Perfect
", Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10 
61," I would not call it a masterpiece as some did
"," There is no doubt that the movie was well thought of - from the plot to execution. I must praise Phoenix's superb acting. He managed to portray very believably the awkward social reject and also the crazy murderer that he became. I really think it's a role only few could do. It was also very interesting to watch how he deteriorated mentally and little by little gave up on trying to fit into society. Gotta hand it to the script writer - the plot was unpredictable.<br/><br/>But...<br/><br/>There wasn't anything too complex about Arthur's mental state. No deep psychological analysis, or a web of many deep factors that created a one of a kind psychotic maniac. Could it be that I was expecting too much? Very possible since I came with very high expectations after reading some reviews.
What doesn't have anything with expectations is that at the end he didn't remind much of the original Joker. He felt more like a simply society reject that went completely crazy and started killing people. Not that much different from many other serial killers or mass murderers. He didn't have the master mind that so much designated the Joker and made him different from a simple murderer.<br/><br/>
Another thing is that there were long parts of the movie that felt very dull.
Also I found it hard to buy the reason behind the riots in the city and the role the Joker played in them. Even if taken into account that the poverty and anger was cooking for a long time in that society, it still feels somewhat absurd that killing three people in the subway made the joker so notorious.<br/><br/>
In conclusion, I can identify with the character which gave me a lasting impression of the movie, and this movie could have been very great if it was a movie about how a person that's rejected by society turns slowly into a serial killer. But as a movie about the Joker I felt it was lacking. Lacking the things that made the Joker actually the Joker, and not just another crazy murderer. "
62," Amazing !
"," One of the best films I've seen. Joaquin Phoenix should get an Oscar for his portrayal of Arthur Fleck. The unraveling of a person suffering from mental illness was tough to watch in some scenes but I never felt his behaviour wasn't justified. I left the cinema feeling sorry for a man who'd always felt different and had been treated badly from a young age. JP didn't just throw himself into the role , he became Arthur. Not as violent as I was expected either so I don't reslly understand the controversy when it was released. "
63," This movie is no Joke
"," Thinking to Joker it is a haunting, beautiful film that shines in it's brutality. Not in terms of the violence, but more along the lines of witnessing one man's journey into madness. Each event, each action provides a great amount of weight along with an unease factor.<br/><br/>Joaquin Phoenix's performance was phenomenal and you can feel the heartbreak along with the mental strain that continously pushes him into a dark mind set.<br/><br/>The grittier nature of Gotham, combined with the beautiful score really help sets the mood, and the songs from Frank Sinatra and Jimmy Durante adds whole another of class in midst of the slums. The Cinematography manages to catches the beauty, and the despair of a Gotham city that is falling apart, not too mention that the score and licensed songs help add another layer to the film. "
64," Joker = Masterpiece!
", Maybe the best movie in about 20 years or so. I was just blown away. 
65," By far the best DC movie to date, Joaquin Phoenix was perfect.
"," Wow, what a movie! I have to admit, When I first heard Joaquin Phoenix was going to be the joker, I was surprised. I wasn't sure how he was going to pull it off. I was hoping it wasn't going to be another cheesy rendition full of fluff and unrealistic explanations of how the Joker came to be. One where my (adult) son wouldn't have to keep nudging me to wake me up. I was pleasantly surprised on well Todd Phillips' version played and Joaquin's acting was superb. You could feel the anguish his character was going through right up to the point he lost his mind. Just an excellent, well acted movie that you almost forget is derived from a DC comic. "
66," One of the best movies i've ever watched.
", This is one of the best movies ever made in my opinion. I got chills when i left the cinema. I absolutely recommend this movie for everyone! 
67," Joaquin Phoenix, take a bow
",
68," The making of a falling legend!
",
69," PHENOMENAL
"," The performance of joaquin phoenix is a masterpiece. If he doesn't get an oscar for this than I don't know wat is oscar worthy. You would't expect this from Todd Phillips, but he made a masterpiece. "
70," Madness of cinematic
", Unbelievable how come we love the bad guy after living their own life 
71," Darker Than Dark!
", I actually really didn't want to like this film and thought I was going to find it awful to watch. Instead I found it to be brilliant. So deeply disturbing and had me on totally gripped throughout. Amazing film and so well done. I usually don't like Phoenix but he is so good in this and really gets it bang on. Thanks for making this film! 
72," What a movie...
"," Joker actually is a mix of different genres and elements who create something unique.
You can see the Taxi Driver or King of Comedy influences but Todd Phillips Movie has more things to say ... and Joaquin's Phoenix performance helps him to do that 100 %.
I think it's the best character development I've see in a movie and the screenplay it's artistic written. Even if doesn't follow the comic mythology at all and it's very realistic and less comic book movie, Joker has a lot of elements of Batman Mythology and gives some hint to DC fans. Dark, brutal, funny and sad at the same time ... Joker is one of the best movies of the recent years. "
73," the joker is human!!
"," I think after ledger, that every great actor wants to play this part, todd phillips asked joaquin and here whe are!
a briljant movie... will be blowing minds for a long time...nuff said "
